uid;nom;prenom;groupe_sigle;total_votes_exprimes;votes_loyaux;votes_rebelles;score_loyaute_pct;en_cours
PA335054;Karamanli;Marietta;SOC;1549;1412;137;91.16;True
PA335758;Riester;Franck;EPR;665;606;59;91.13;True
PA795270;Poussier-Winsback;Marie-Agnès;HOR;1484;1352;132;91.11;True
PA720728;Mattei;Jean-Paul;Dem;2032;1851;181;91.09;True
PA717379;Maillard;Sylvain;EPR;1409;1283;126;91.06;True
PA642868;Christophe;Paul;HOR;1330;1211;119;91.05;True
PA2940;Voynet;Dominique;EcoS;2101;1912;189;91.0;True
PA722162;Turquois;Nicolas;Dem;1367;1243;124;90.93;True
PA840235;Frébault;Moerani;EPR;428;389;39;90.89;True
PA794234;Gernigon;François;HOR;1547;1406;141;90.89;True
PA266808;Rolland;Vincent;DR;536;487;49;90.86;True
PA795386;Lefèvre;Mathieu;EPR;874;794;80;90.85;False
PA721916;Pouzyreff;Natalia;EPR;1213;1102;111;90.85;True
PA720256;Bannier;Géraldine;Dem;1560;1417;143;90.83;True
PA794982;Delpech;Julie;EPR;1101;1000;101;90.83;True
PA841853;Hervieu;Céline;SOC;1210;1099;111;90.83;True
PA267780;Firmin Le Bodo;Agnès;HOR;1698;1541;157;90.75;True
PA719218;Berville;Hervé;EPR;1307;1186;121;90.74;True
PA722000;Buchou;Stéphane;EPR;1349;1224;125;90.73;True
PA805166;Bergantz;Anne;Dem;3085;2798;287;90.7;True
PA331973;Got;Pascale;SOC;1546;1402;144;90.69;True
PA795864;Cazeneuve;Pierre;EPR;1755;1591;164;90.66;True
PA720354;Jacques;Jean-Michel;EPR;381;345;36;90.55;True
PA841813;Herouin-Léautey;Florence;SOC;1554;1406;148;90.48;True
PA774960;Santiago;Isabelle;SOC;1415;1280;135;90.46;True
PA841709;Hoffman;Emmanuelle;EPR;958;866;92;90.4;False
PA794518;Marle;Pierre;HOR;198;179;19;90.4;False
PA267794;Tabarot;Michèle;DR;414;374;40;90.34;True
PA605782;Marcangeli;Laurent;HOR;402;363;39;90.3;True
PA841295;Courbon;Pierrick;SOC;1952;1762;190;90.27;True
PA720066;Rist;Stéphanie;EPR;790;713;77;90.25;False
PA793624;Brun;Philippe;SOC;1688;1523;165;90.23;True
PA721584;Terlier;Jean;EPR;1266;1142;124;90.21;True
PA794798;Buffet;Françoise;EPR;2560;2309;251;90.2;True
PA719388;Le Meur;Annaïg;EPR;1298;1170;128;90.14;True
PA794494;Vicot;Roger;SOC;1075;969;106;90.14;True
PA840793;Pena;Marc;SOC;1338;1206;132;90.13;True
PA2960;Woerth;Éric;EPR;2097;1890;207;90.13;False
PA842121;Tryzna;Nicolas;DR;637;574;63;90.11;True
PA720334;Pahun;Jimmy;Dem;1504;1355;149;90.09;True
PA795374;Lecamp;Pascal;Dem;1412;1272;140;90.08;True
PA722336;Thiébaut;Vincent;HOR;672;605;67;90.03;True
PA841327;Roussel;Fabrice;SOC;2550;2295;255;90.0;True
PA840665;Allemand;Marie-José;SOC;2694;2424;270;89.98;True
PA607395;Travert;Stéphane;EPR;1266;1139;127;89.97;True
PA722134;Fiévet;Jean-Marie;EPR;1629;1465;164;89.93;True
PA879389;Lubet;Marie-Philippe;EPR;139;125;14;89.93;True
PA794838;Lemaire;Didier;HOR;823;740;83;89.91;True
PA840955;Pribetich;Pierre;SOC;2990;2688;302;89.9;True
PA342415;Battistel;Marie-Noëlle;SOC;2344;2107;237;89.89;True
PA721764;Grégoire;Olivia;EPR;951;854;97;89.8;True
PA722070;Henriet;Pierre;HOR;1243;1116;127;89.78;True
PA642764;Aviragnet;Joël;SOC;674;605;69;89.76;True
PA840829;Barusseau;Fabrice;SOC;2021;1814;207;89.76;True
PA793214;Abadie-Amiel;Audrey;LIOT;429;385;44;89.74;True
PA817203;Miller;Laure;EPR;1116;1001;115;89.7;True
PA333285;Garot;Guillaume;SOC;1675;1502;173;89.67;True
PA331582;Vigier;Philippe;Dem;1509;1353;156;89.66;True
PA794278;Albertini;Xavier;HOR;366;328;38;89.62;True
PA642935;Becht;Olivier;EPR;192;172;20;89.58;True
PA841243;Saint-Pasteur;Sébastien;SOC;1746;1564;182;89.58;True
PA721426;Riotton;Véronique;EPR;1323;1185;138;89.57;True
PA840673;Rossi;Valérie;SOC;3026;2710;316;89.56;True
PA794802;Sitzenstuhl;Charles;EPR;3984;3565;419;89.48;True
PA757225;Seo;Mikaele;EPR;370;331;39;89.46;True
PA721458;Roseren;Xavier;HOR;587;525;62;89.44;True
PA722102;Vidal;Annie;EPR;1768;1581;187;89.42;True
PA608016;Louwagie;Véronique;DR;660;590;70;89.39;True
PA267318;Grelier;Jean-Carles;Dem;254;227;27;89.37;True
PA841665;Fégné;Denis;SOC;2497;2231;266;89.35;True
PA794042;Dezarnaud;Sylvie;DR;646;577;69;89.32;False
PA795144;Armand;Antoine;EPR;754;673;81;89.26;True
PA720560;Goulet;Perrine;Dem;1108;989;119;89.26;True
PA643184;Klinkert;Brigitte;EPR;1620;1446;174;89.26;True
PA841367;Proença;Christophe;SOC;2084;1859;225;89.2;True
PA840765;Lhardit;Laurent;SOC;2088;1862;226;89.18;True
PA1630;Herbillon;Michel;DR;508;453;55;89.17;True
PA794470;Gérard;Félicie;HOR;1900;1694;206;89.16;True
PA335999;Batho;Delphine;EcoS;807;719;88;89.1;True
PA840979;Le Fur;Corentin;DR;1755;1563;192;89.06;True
PA795050;Panosyan-Bouvet;Astrid;EPR;356;317;39;89.04;True
PA774954;Blin;Anne-Laure;DR;1247;1110;137;89.01;True
PA719024;Blanchet;Christophe;Dem;1362;1212;150;88.99;True
PA720992;William;Jiovanny;SOC;381;339;42;88.98;True
PA712014;Ledoux;Vincent;EPR;517;460;57;88.97;True
PA841315;Benbrahim;Karim;SOC;2155;1917;238;88.96;True
PA721816;Boucard;Ian;DR;1077;957;120;88.86;True
PA841471;Hablot;Stéphane;SOC;886;787;99;88.83;True
PA719472;Cazeneuve;Jean-René;EPR;1537;1365;172;88.81;True
PA795990;Bregeon;Maud;EPR;107;95;12;88.79;False
PA793210;Panifous;Laurent;LIOT;579;514;65;88.77;False
PA841681;Sother;Thierry;SOC;1547;1373;174;88.75;True
PA719052;Kervran;Loïc;HOR;1721;1527;194;88.73;True
PA793194;Vuibert;Lionel;NI;1207;1071;136;88.73;True
PA794702;Lingemann;Delphine;Dem;1773;1573;200;88.72;True
PA718884;Bazin-Malgras;Valérie;DR;2178;1932;246;88.71;True
PA841381;Pantel;Sophie;SOC;3066;2719;347;88.68;True
PA841633;Dufau;Peio;SOC;2286;2027;259;88.67;True
PA267042;Favennec-Bécot;Yannick;LIOT;715;634;81;88.67;True
PA643104;Minard;Christelle;DR;1023;907;116;88.66;True
PA794810;Morel;Louise;Dem;2526;2239;287;88.64;True
PA795326;Weissberg;Christopher;EPR;211;187;24;88.63;True
PA605694;Falorni;Olivier;Dem;1069;947;122;88.59;True
PA795528;Rodwell;Charles;EPR;1174;1040;134;88.59;True
PA722190;Attal;Gabriel;EPR;1638;1451;187;88.58;True
PA720146;Masséglia;Denis;EPR;1673;1482;191;88.58;True
PA720138;Saint-Paul;Laetitia;HOR;1346;1192;154;88.56;True
PA720362;Belhaddad;Belkhir;SOC;1598;1415;183;88.55;True
PA841359;de Pélichy;Constance;LIOT;1427;1263;164;88.51;True
PA721410;Bonnivard;Émilie;DR;2320;2053;267;88.49;True
