uid;nom;prenom;groupe_sigle;specialite_principale;top_5_themes;nb_themes_votes
PA722252;Rixain;Marie-Pierre;EPR;Education;Economie & Finance(275) | Securite sociale & Protection(86) | Sante(60) | Education(12) | Institutions(7);12
PA794442;Robert-Dehault;Laurence;RN;Transport;Economie & Finance(965) | Securite sociale & Protection(206) | Sante(194) | Outre-mer(151) | Institutions(132);15
PA795528;Rodwell;Charles;EPR;Immigration;Economie & Finance(705) | Securite sociale & Protection(133) | Sante(133) | Securite & Justice(63) | Institutions(52);14
PA266808;Rolland;Vincent;DR;Culture;Culture(144) | Economie & Finance(141) | Outre-mer(47) | Sante(39) | Securite & Justice(32);14
PA841927;Ronceret;Anne-Sophie;EPR;Numerique & Technologies;Economie & Finance(926) | Securite sociale & Protection(255) | Securite & Justice(104) | Ecologie & Environnement(98) | Sante(74);16
PA721458;Roseren;Xavier;HOR;Securite & Justice;Economie & Finance(329) | Securite & Justice(66) | Sante(48) | Outre-mer(44) | Securite sociale & Protection(25);15
PA840673;Rossi;Valérie;SOC;Numerique & Technologies;Economie & Finance(1814) | Securite sociale & Protection(496) | Sante(224) | Culture(180) | Ecologie & Environnement(134);16
PA342196;Rouaux;Claudia;SOC;Sante;Economie & Finance(1069) | Sante(510) | Securite sociale & Protection(255) | Institutions(95) | Outre-mer(79);16
PA795410;Roullaud;Béatrice;RN;Immigration;Economie & Finance(1795) | Securite sociale & Protection(495) | Outre-mer(254) | Sante(199) | Securite & Justice(180);15
PA606545;Roumégas;Jean-Louis;EcoS;Immigration;Economie & Finance(659) | Securite sociale & Protection(118) | Institutions(106) | Securite & Justice(66) | Social & Travail(61);15
PA826635;Rousseau;Aurélien;SOC;Sante;Economie & Finance(1133) | Sante(338) | Securite sociale & Protection(269) | Securite & Justice(82) | Outre-mer(38);15
PA795076;Rousseau;Sandrine;EcoS;Sante;Economie & Finance(1112) | Sante(569) | Securite sociale & Protection(485) | Outre-mer(138) | Ecologie & Environnement(105);15
PA841327;Roussel;Fabrice;SOC;Ecologie & Environnement;Economie & Finance(1561) | Securite sociale & Protection(455) | Sante(234) | Ecologie & Environnement(149) | Institutions(106);15
PA795888;Rousselot;Marie-Ange;EPR;Agriculture;Economie & Finance(142) | Sante(113) | Institutions(37) | Agriculture(26) | Outre-mer(23);15
PA793270;Rousset;Jean-François;EPR;Numerique & Technologies;Economie & Finance(1228) | Sante(630) | Securite sociale & Protection(579) | Ecologie & Environnement(166) | Outre-mer(113);16
PA842097;Roy;Sophie-Laurence;RN;Defense;Economie & Finance(1196) | Securite sociale & Protection(351) | Sante(317) | Ecologie & Environnement(154) | Institutions(91);15
PA722142;Ruffin;François;EcoS;Culture;Economie & Finance(350) | Sante(49) | Institutions(40) | Outre-mer(33) | Securite sociale & Protection(28);14
PA841717;Runel;Sandrine;SOC;Immigration;Economie & Finance(1101) | Sante(500) | Securite sociale & Protection(498) | Institutions(135) | Outre-mer(101);16
PA341981;Récalde;Marie;SOC;Securite sociale & Protection;Economie & Finance(551) | Securite sociale & Protection(280) | Sante(169) | Outre-mer(44) | Social & Travail(21);14
PA794894;Sabatini;Anaïs;RN;Logement & Urbanisme;Economie & Finance(1699) | Securite sociale & Protection(413) | Sante(394) | Outre-mer(265) | Ecologie & Environnement(214);16
PA794570;Sabatou;Alexandre;RN;Defense;Economie & Finance(1238) | Securite sociale & Protection(270) | Ecologie & Environnement(104) | Sante(97) | Institutions(78);15
PA841845;Saint-Martin;Arnaud;LFI-NFP;Education;Economie & Finance(1352) | Securite sociale & Protection(245) | Sante(245) | Institutions(154) | Securite & Justice(128);15
PA841243;Saint-Pasteur;Sébastien;SOC;Immigration;Economie & Finance(846) | Sante(280) | Securite sociale & Protection(182) | Institutions(103) | Outre-mer(83);15
PA720138;Saint-Paul;Laetitia;HOR;Ecologie & Environnement;Economie & Finance(696) | Ecologie & Environnement(150) | Institutions(135) | Sante(81) | Securite sociale & Protection(79);15
PA795982;Saintoul;Aurélien;LFI-NFP;Numerique & Technologies;Economie & Finance(1369) | Securite sociale & Protection(380) | Sante(305) | Outre-mer(203) | Institutions(122);16
PA794954;Salmon;Emeric;RN;Culture;Economie & Finance(2408) | Sante(528) | Securite sociale & Protection(411) | Outre-mer(325) | Institutions(229);15
PA721110;Sanquer;Nicole;LIOT;Logement & Urbanisme;Economie & Finance(225) | Institutions(55) | Securite sociale & Protection(42) | Logement & Urbanisme(41) | Ecologie & Environnement(33);15
PA605745;Sansu;Nicolas;GDR;Immigration;Economie & Finance(1087) | Sante(296) | Securite sociale & Protection(88) | Outre-mer(84) | Securite & Justice(59);15
PA774960;Santiago;Isabelle;SOC;Culture;Economie & Finance(769) | Securite sociale & Protection(337) | Sante(232) | Culture(163) | Institutions(42);15
PA841777;Sanvert;Arnaud;RN;Transport;Economie & Finance(437) | Outre-mer(104) | Sante(85) | Securite sociale & Protection(64) | Transport(51);15
PA610002;Sas;Eva;EcoS;Defense;Economie & Finance(1528) | Securite sociale & Protection(190) | Sante(173) | Institutions(106) | Outre-mer(103);15
PA340343;Saulignac;Hervé;SOC;Numerique & Technologies;Economie & Finance(542) | Securite sociale & Protection(155) | Institutions(86) | Sante(85) | Securite & Justice(61);16
PA721314;Schellenberger;Raphaël;NI;Ecologie & Environnement;Economie & Finance(331) | Ecologie & Environnement(56) | Outre-mer(50) | Securite sociale & Protection(26) | Institutions(15);9
